,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,formula,gap expt
0,16.0,82.0,66.0,36.275862068965516,23.552913198573126,16.0,65.0,88.0,23.0,83.48275862068965,4.984542211652795,88.0,32.065,207.2,175.135,85.16332413793103,62.04596432818074,32.065,388.36,1234.93,846.57,611.4996551724139,251.48014268727712,388.36,11.0,16.0,5.0,14.89655172413793,1.2175980975029725,16.0,3.0,6.0,3.0,4.0,1.103448275862069,3.0,105.0,146.0,41.0,119.72413793103448,16.24732461355529,105.0,1.93,2.58,0.6500000000000001,2.3962068965517243,0.20280618311533893,2.58,1.0,2.0,1.0,1.9310344827586208,0.12841854934601657,2.0,0.0,4.0,4.0,2.9655172413793105,1.1414982164090366,4.0,0.0,10.0,10.0,4.482758620689655,4.946492271105826,0.0,0.0,14.0,14.0,3.3793103448275863,5.127229488703923,0.0,6.0,28.0,22.0,12.758620689655173,7.700356718192628,6.0,0.0,1.0,1.0,0.06896551724137931,0.12841854934601665,0.0,0.0,4.0,4.0,2.6206896551724137,1.0463733650416172,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.689655172413793,0.9940546967895363,2.0,16.33,28.11,11.780000000000001,25.311724137931034,1.875196195005945,25.786875,0.0,2.202,2.202,1.2677241379310344,1.030925089179548,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,139.48275862068965,76.6706302021403,70.0,Ag0.5Ge1Pb1.75S4,1.83
1,32.0,82.0,50.0,46.206896551724135,17.388822829964326,34.0,65.0,89.0,24.0,84.03448275862068,5.479191438763378,89.0,72.64,207.2,134.56,111.03642758620688,46.42379357907253,78.96,494.0,1234.93,740.9300000000001,669.7837931034484,227.362568370987,494.0,11.0,16.0,5.0,14.89655172413793,1.2175980975029725,16.0,4.0,6.0,2.0,4.551724137931035,0.760998810939358,4.0,120.0,146.0,26.0,128.0,11.03448275862069,120.0,1.93,2.55,0.6199999999999999,2.3796551724137927,0.18796670630202136,2.55,1.0,2.0,1.0,1.9310344827586208,0.12841854934601657,2.0,0.0,4.0,4.0,2.9655172413793105,1.1414982164090366,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,3.3793103448275863,5.127229488703923,0.0,11.0,28.0,17.0,18.275862068965516,4.694411414982163,16.0,0.0,1.0,1.0,0.06896551724137931,0.12841854934601665,0.0,0.0,4.0,4.0,2.6206896551724137,1.0463733650416172,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.689655172413793,0.9940546967895363,2.0,16.33,28.11,11.780000000000001,25.385172413793107,1.9055885850178347,25.92,0.0,0.799,0.799,0.49365517241379314,0.3369322235434008,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,108.58620689655173,104.37098692033292,14.0,Ag0.5Ge1Pb1.75Se4,1.51
2,16.0,47.0,31.0,29.0,13.0,16.0,65.0,88.0,23.0,78.83333333333333,9.222222222222223,88.0,32.065,107.8682,75.8032,64.09523333333333,32.030233333333335,32.065,388.36,1234.93,846.57,807.7233333333334,419.3633333333334,388.36,11.0,16.0,5.0,14.0,2.0,16.0,3.0,5.0,2.0,3.8333333333333335,0.8333333333333334,3.0,105.0,145.0,40.0,120.83333333333333,16.11111111111111,105.0,1.93,2.58,0.6500000000000001,2.268333333333333,0.31166666666666676,2.58,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.3333333333333335,1.6666666666666667,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,9.0,3.0,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,4.0,4.0,1.6666666666666667,1.111111111111111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.6666666666666666,2.0,16.33,25.786875,9.456875,22.170937499999997,3.893958333333334,25.786875,0.0,2.202,2.202,1.1648333333333334,1.0371666666666666,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,147.5,77.5,70.0,Ag2GeS3,1.98
3,32.0,47.0,15.0,38.0,6.0,34.0,65.0,89.0,24.0,79.33333333333333,9.666666666666666,89.0,72.64,107.8682,35.2282,87.54273333333333,13.550311111111114,78.96,494.0,1234.93,740.9300000000001,860.5433333333334,366.54333333333335,494.0,11.0,16.0,5.0,14.0,2.0,16.0,4.0,5.0,1.0,4.333333333333333,0.44444444444444436,4.0,120.0,145.0,25.0,128.33333333333334,11.111111111111114,120.0,1.93,2.55,0.6199999999999999,2.2533333333333334,0.29666666666666663,2.55,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.3333333333333335,1.6666666666666667,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,4.0,4.0,1.6666666666666667,1.111111111111111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.6666666666666666,2.0,16.33,25.92,9.590000000000003,22.2375,3.9383333333333344,25.92,0.0,0.799,0.799,0.4633333333333334,0.3356666666666667,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,119.5,105.5,14.0,Ag2GeSe3,0.9
4,47.0,80.0,33.0,55.142857142857146,7.102040816326533,53.0,65.0,96.0,31.0,83.57142857142857,14.204081632653061,96.0,107.8682,200.59,92.7218,131.99204,19.599417142857142,126.90447,234.32,1234.93,1000.6100000000001,607.3685714285714,358.6065306122449,386.85,11.0,17.0,6.0,14.571428571428571,2.775510204081633,17.0,5.0,6.0,1.0,5.142857142857143,0.24489795918367374,5.0,132.0,145.0,13.0,139.71428571428572,3.0204081632653095,139.0,1.93,2.66,0.7300000000000002,2.357142857142857,0.34612244897959193,2.66,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,5.0,5.0,2.857142857142857,2.4489795918367347,5.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,2.0,3.4285714285714284,0.0,11.0,26.0,15.0,16.571428571428573,3.1836734693877546,17.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,1.0,1.0,0.5714285714285714,0.489795918367347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.2448979591836735,1.0,16.33,43.015,26.685000000000002,32.85108374384286,11.615904292751022,43.015,0.0,1.062,1.062,0.6068571428571429,0.5201632653061224,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,124.57142857142857,69.22448979591836,64.0,Ag2HgI4,2.47
5,8.0,53.0,45.0,21.904761904761905,18.53968253968254,8.0,50.0,96.0,46.0,84.85714285714286,7.102040816326528,87.0,15.9994,126.90447,110.90507000000001,49.68123238095239,44.909109841269846,15.9994,54.8,2896.0,2841.2,365.7361904761905,414.5815873015873,54.8,6.0,17.0,11.0,15.238095238095237,1.6870748299319736,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,154.0,88.0,91.61904761904762,34.15873015873016,66.0,1.93,3.44,1.51,3.0866666666666664,0.47111111111111115,3.44,1.0,2.0,1.0,1.8571428571428572,0.24489795918367344,2.0,0.0,5.0,5.0,3.619047619047619,1.0340136054421767,4.0,0.0,10.0,10.0,3.0952380952380953,4.126984126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,8.571428571428571,3.6734693877551017,6.0,0.0,1.0,1.0,0.14285714285714285,0.2448979591836735,0.0,0.0,2.0,2.0,1.5238095238095237,0.634920634920635,2.0,0.0,5.0,5.0,0.23809523809523808,0.45351473922902497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,1.9047619047619047,0.5170068027210885,2.0,9.105,43.015,33.91,16.565714285714286,10.075918367346938,9.105,0.0,1.062,1.062,0.2022857142857143,0.32751020408163267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,52.523809523809526,54.03174603174604,12.0,Ag2Mo(I2O7)2,3.06
6,8.0,47.0,39.0,31.2,18.560000000000002,8.0,62.0,87.0,25.0,73.2,11.040000000000001,65.0,15.9994,107.8682,91.86880000000001,70.83104,43.865312,15.9994,54.8,1828.05,1773.25,881.5020000000001,661.3616,54.8,10.0,16.0,6.0,12.8,2.56,11.0,2.0,5.0,3.0,3.8,1.44,2.0,66.0,145.0,79.0,112.2,36.96,66.0,1.93,3.44,1.51,2.588,0.6816,1.93,0.0,2.0,2.0,1.2,0.64,1.0,0.0,4.0,4.0,1.6,1.9200000000000004,0.0,0.0,10.0,10.0,6.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.8,2.2399999999999998,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.64,1.0,9.105,16.33,7.224999999999998,13.056000000000001,3.160799999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,139.8,102.24,12.0,Ag2PdO2,0.18
7,8.0,53.0,45.0,28.0,20.0,8.0,65.0,96.0,31.0,78.58333333333333,11.319444444444445,87.0,15.9994,126.90447,110.90507000000001,63.52015583333334,47.52075583333334,15.9994,54.8,1234.93,1180.13,574.1916666666667,550.6152777777778,54.8,11.0,17.0,6.0,14.0,2.5,16.0,2.0,5.0,3.0,3.5,1.5,2.0,66.0,145.0,79.0,105.0,39.0,66.0,1.93,3.44,1.51,2.7458333333333336,0.6941666666666667,3.44,1.0,2.0,1.0,1.5833333333333333,0.48611111111111116,2.0,0.0,5.0,5.0,2.4166666666666665,2.013888888888889,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,9.0,3.0,6.0,0.0,1.0,1.0,0.4166666666666667,0.486111111111111,0.0,0.0,2.0,2.0,1.0833333333333333,0.9166666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,2.0,9.105,43.015,33.91,14.941249999999998,5.83625,9.105,0.0,1.062,1.062,0.08850000000000001,0.16225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,105.08333333333333,99.93055555555556,12.0,Ag5IO6,1.4
8,16.0,47.0,31.0,32.714285714285715,14.326530612244897,47.0,65.0,88.0,23.0,76.21428571428571,11.214285714285714,65.0,32.065,107.8682,75.8032,73.02778571428571,35.11095918367347,107.8682,388.36,1234.93,846.57,861.7621428571429,405.7732653061225,1234.93,11.0,16.0,5.0,13.428571428571429,2.4285714285714284,11.0,3.0,5.0,2.0,4.071428571428571,0.9285714285714286,5.0,105.0,145.0,40.0,126.0,19.0,145.0,1.93,2.58,0.6500000000000001,2.2264285714285714,0.303061224489796,1.93,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,1.9285714285714286,1.9285714285714286,0.0,0.0,10.0,10.0,5.714285714285714,4.8979591836734695,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,9.142857142857142,2.693877551020408,11.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,3.0,3.0,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5714285714285714,0.5714285714285714,1.0,16.33,25.786875,9.456875,20.800446428571426,4.470446428571429,16.33,0.0,2.202,2.202,0.9437142857142857,1.0785306122448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,154.35714285714286,72.3061224489796,225.0,Ag7AsS6,1.0
9,33.0,47.0,14.0,40.42857142857143,6.571428571428571,47.0,65.0,89.0,24.0,76.64285714285714,11.642857142857142,65.0,74.9216,107.8682,32.946600000000004,93.12564285714286,14.742557142857148,107.8682,494.0,1234.93,740.9300000000001,907.0364285714286,354.03122448979593,1234.93,11.0,16.0,5.0,13.428571428571429,2.4285714285714284,11.0,4.0,5.0,1.0,4.5,0.5,5.0,119.0,145.0,26.0,132.42857142857142,12.571428571428571,145.0,1.93,2.55,0.6199999999999999,2.2135714285714285,0.28836734693877547,1.93,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,1.9285714285714286,1.9285714285714286,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,13.428571428571429,2.4285714285714284,11.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,3.0,3.0,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5714285714285714,0.5714285714285714,1.0,16.33,25.92,9.590000000000003,20.857499999999998,4.527500000000002,16.33,0.0,0.799,0.799,0.34242857142857147,0.3913469387755102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,130.35714285714286,99.73469387755101,225.0,Ag7AsSe6,1.0
